frame,id,cx,cy,conf,x1,y1,x2,y2
1,1,87,891,0.864,33,795,141,986
1,2,704,752,0.864,663,649,744,854
1,3,1467,795,0.831,1411,703,1523,888
1,4,1503,557,0.819,1463,471,1543,643
1,5,1192,1012,0.817,1140,948,1244,1077
1,6,1175,582,0.815,1140,509,1210,656
1,7,786,536,0.812,750,450,821,622
1,8,294,524,0.808,260,438,329,610
1,9,956,238,0.754,926,171,986,306
1,10,1229,196,0.724,1203,128,1255,265
1,11,1189,213,0.683,1165,148,1212,278
1,12,738,314,0.675,708,238,768,390
1,13,598,344,0.65,569,279,627,410
1,14,1481,402,0.64,1446,320,1516,484
1,15,1821,209,0.592,1792,144,1850,273
1,16,118,191,0.547,94,132,143,250
1,17,371,569,0.54,344,495,398,644
1,18,874,131,0.513,853,70,895,192
1,19,912,152,0.499,891,91,933,212
1,20,821,141,0.483,797,77,845,205
1,21,233,103,0.441,200,43,266,162
1,22,594,248,0.439,570,202,618,295
1,23,1013,167,0.432,987,100,1038,234
1,24,1112,96,0.41,1091,43,1133,148
1,25,1600,70,0.392,1578,19,1622,121
1,26,1633,71,0.384,1612,15,1653,127
1,27,1699,75,0.362,1671,15,1726,134
2,1,91,894,0.888,37,798,144,989
2,4,1505,562,0.856,1465,476,1545,648
2,3,1460,795,0.851,1401,702,1520,887
2,2,707,741,0.849,668,639,745,842
2,5,1192,1009,0.835,1140,940,1244,1078
2,6,1175,576,0.812,1140,500,1211,652
2,7,790,531,0.804,754,444,826,618
2,8,291,526,0.777,256,442,326,611
2,9,956,245,0.776,928,177,984,314
2,14,1485,404,0.726,1450,322,1519,486
2,12,738,305,0.696,709,233,766,376
2,10,1229,192,0.684,1204,125,1255,260
2,13,598,348,0.659,569,281,628,414
2,11,1189,214,0.633,1167,146,1211,282
2,16,119,190,0.579,94,131,144,249
2,21,237,98,0.576,207,40,267,156
2,17,370,568,0.512,343,495,398,641
2,20,823,139,0.486,798,76,849,202
2,18,873,131,0.475,853,69,893,192
2,15,1824,212,0.463,1796,148,1852,277
2,23,1012,167,0.459,986,102,1039,233
2,22,595,250,0.456,571,202,619,299
2,27,1700,76,0.433,1673,16,1728,136
2,26,1633,72,0.431,1612,15,1654,128
2,25,1602,71,0.428,1581,19,1622,123
2,19,914,150,0.424,894,88,934,211
2,24,1112,98,0.363,1091,46,1134,150
3,1,91,894,0.883,37,799,144,989
3,5,1192,1007,0.837,1140,936,1244,1078
3,2,708,734,0.836,671,634,745,834
3,3,1458,795,0.824,1397,703,1518,887
3,4,1507,565,0.819,1467,482,1546,648
3,8,290,527,0.803,256,443,325,610
